n04118776,"rule, ruler",has bow measuring stick consisting of a strip of wood or metal or plastic with a straight edge that is used for drawing straight lines and measuring lengths.,,,,,
n04043733,"radio receiver, receiving set, radio set, radio, tuner, wireless",an electronic receiver that detects and demodulates and amplifies transmitted signals.,,,,,
n06591815,"album, record album",one or more recordings issued together, originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc.,,,,
n09303008,hill,a local and well-defined elevation of the land," ""they loved to roam the hills of West Virginia"".",,,,
n09359803,"mountain, mount",a land mass that projects well above its surroundings, higher than a hill.,,,,
n13104059,tree,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown, includes both gymnosperms and angiosperms.,,,,
n00468480,"football, football game",any of various games played with a ball (round or oval) in which two teams try to kick or carry or propel the ball into each other's goal.,,,,,
n04401088,"telephone, phone, telephone set",electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds," ""I talked to him on the telephone"".",,,,
n03744276,"memory, computer memory, storage, computer storage, store, memory board",an electronic memory device," ""a memory and the CPU form the central part of a computer to which peripherals are attached"".",,,,
n04151940,"screen, cover, covert, concealment",a covering that serves to conceal or shelter something," ""a screen of trees afforded privacy"""," ""under cover of darkness"""," ""the brush provided a covert for game"""," ""the simplest concealment is to match perfectly the color of the background"".",
n03287733,engine,motor that converts thermal energy to mechanical work.,,,,,
n02778669,ball,round object that is hit or thrown or kicked in games," ""the ball travelled 90 mph on his serve"""," ""the mayor threw out the first ball"""," ""the ball rolled into the corner pocket"".",,
n07575726,dinner,the main meal of the day served in the evening or at midday," ""dinner will be at 8"""," ""on Sundays they had a large dinner when they returned from church"".",,,
n03619890,kitchen,a room equipped for preparing meals.,,,,,
n03688832,"looking glass, glass",a mirror, usually a ladies' dressing mirror.,,,,
n02928608,button,has bow a round fastener sewn to shirts and coats etc to fit through buttonholes.,,,,,
n04967191,"green, greenness, viridity",green color or pigment, resembling the color of growing grass.,,,,
n04968895,"blue, blueness",blue color or pigment, resembling the color of the clear sky in the daytime," ""he had eyes of bright blue"".",,,
n10150940,"guest, invitee",a visitor to whom hospitality is extended.,,,,,
n03800563,museum,a depository for collecting and displaying objects having scientific or historical or artistic value.,,,,,
n03652932,"leash, tether, lead",restraint consisting of a rope (or light chain) used to restrain an animal.,,,,,
n01503061,bird,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings.,,,,,
n02992529,"cellular telephone, cellular phone, cellphone, cell, mobile phone","has bow a hand-held mobile radiotelephone for use in an area divided into small sections, each with its own short-range transmitter/receiver.",,,,,
n04404412,"television, television system",has bow a telecommunication system that transmits images of objects (stationary or moving) between distant points.,,,,,
n09632518,worker,a person who works at a specific occupation," ""he is a good worker"".",,,,
n09247410,cloud,a visible mass of water or ice particles suspended at a considerable altitude.,,,,,
n00017222,"plant, flora, plant life",(botany) a living organism lacking the power of locomotion.,,,,,
n03438257,"glass, drinking glass",a container for holding liquids while drinking.,,,,,
n01887474,"livestock, stock, farm animal",any animals kept for use or profit.,,,,,
n03244388,"driveway, drive, private road",a road leading up to a private house," ""they parked in the driveway"".",,,,
n00523513,"sport, athletics",an active diversion requiring physical exertion and competition.,,,,,
n04216634,"sieve, screen",a strainer for separating lumps from powdered material or grading particles.,,,,,
n01321579,"young, offspring",any immature animal.,,,,,
n00464894,"golf, golf game",a game played on a large open course with 9 or 18 holes, the object is use as few strokes as possible in playing all the holes.,,,,
n02796995,"barroom, bar, saloon, ginmill, taproom",a room or establishment where alcoholic drinks are served over a counter," ""he drowned his sorrows in whiskey at the bar"".",,,,
n04204755,"short circuit, short",accidental contact between two points in an electric circuit that have a potential difference.,,,,,
n02416820,kid,young goat.,,,,,
n03046257,clock,a timepiece that shows the time of day.,,,,,
n07856270,"spread, paste",a tasty mixture to be spread on bread or crackers or used in preparing other dishes.,,,,,
n02512053,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills," ""the shark is a large fish"""," ""in the living room there was a tank of colorful fish"".",,,
n07739125,apple,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh.,,,,,
n03365592,"floor, flooring","the inside lower horizontal surface (as of a room, hallway, tent, or other structure)"," ""they needed rugs to cover the bare floors"""," ""we spread our sleeping bags on the dry floor of the tent"".",,,
n02374451,"horse, Equus caballus",solid-hoofed herbivorous quadruped domesticated since prehistoric times.,,,,,
n02991302,"cell, jail cell, prison cell",a room where a prisoner is kept.,,,,,
n04151581,screen,a protective covering consisting of netting, can be mounted in a frame," ""they put screens in the windows for protection against insects"""," ""a metal screen protected the observers"".",,
n02942699,"camera, photographic camera",equipment for taking photographs (usually consisting of a lightproof box with a lens at one end and light-sensitive film at the other).,,,,,
n02977438,"cash register, register",a cashbox with an adding machine to register transactions, used in shops to add up the bill.,,,,
n03863108,overall,(usually plural) work clothing consisting of denim trousers (usually with a bib and shoulder straps).,,,,,
